symbol	lab	z	pvalue
CD82	S+	2.93675205710625	0.00115677246622882
KCNA3	O+	3.44463576588935	0.000359223081570498
KCNQ1	S+	4.34164631048133	4.55358753449116e-05
KIF2A	O+	3.42732893605046	0.000373827342977003
KIF3C	S+	2.7441352697817	0.00180245624204371
KLRB1	O+	2.72779504721734	0.00187156516330993
KTN1	O+	3.62668611145738	0.000236218489748855
LAMP1	S+	2.31130814724162	0.00488305766245879
LASP1	S+	4.96462315462228	1.08486786569195e-05
LGALS9	S+	5.87855677987949	1.32264477346098e-06
LIMK2	S+	3.53403512770142	0.000292391586874216
LMAN1	O+	2.19048067898589	0.00644940011501103
LMNA	S+	2.27732093780994	0.00528054882063088
LMO7	O+	2.68049269666958	0.00208692721851378
LNPEP	O+	2.7281183255393	0.00187017253379412
LRCH4	S+	3.30243628180009	0.000498383571738565
LRP3	S+	3.64902326915373	0.000224376170159053
LRPAP1	S+	3.14965852721691	0.000708502639905883
LSP1	S+	6.39710831825029	4.00766749129355e-07
LTBR	S+	7.53123587105622	2.94282291379034e-08
MAN2B1	S+	2.71140627316442	0.0019435410899756
MAP1A	S+	2.85977386756645	0.0013811032028961
MAT2A	O+	3.39244301514397	0.000405095095181521
MAX	S+	2.14582992666752	0.00714776183575168
MAZ	S+	2.5862546930338	0.0025926584454664
DNAJB9	O+	2.56324033575418	0.00273375546505788
MDH1	O+	4.03197487139641	9.29020139025042e-05
MEF2D	S+	3.50362877532527	0.000313596512799644
MEFV	S+	3.17184584436235	0.000673215576105374
MAP3K3	S+	4.38227216689401	4.14694077617505e-05
MAP3K4	O+	2.90763438615331	0.0012369883625298
RAB8A	S+	3.31995833124394	0.000478676017099926
MGAT1	S+	4.05779371993487	8.75399471463961e-05
MAP3K11	S+	3.16786526997515	0.000679414372845068
KMT2A	O+	3.08891292620297	0.000814867644391248
MLLT1	S+	4.76274152951779	1.72686533060352e-05
MLLT3	O+	1.98303519969323	0.0103983588341478
NR3C2	O+	3.02159111293226	0.000951500206919838
MMP9	S+	4.42733027635612	3.73826189284859e-05
MMP19	S+	3.59456681676752	0.000254350844096351
MNT	S+	2.511316147238	0.00308094434205952
MPST	S+	3.21385271453771	0.000611149253277849
MSH2	O+	4.6142506462151	2.43080070585125e-05
MSRA	S+	3.09329822691671	0.000806680898004183
MTF1	S+	2.02994833494649	0.00933365330302345
MYO1F	S+	6.05608338328919	8.78853763240999e-07
MTR	O+	4.99014357054593	1.02295476451468e-05
