symbol	lab	pvalue
TRIM25	S+	0.00321190697254051
ZYX	S+	9.17742520272085e-07
LAPTM5	S+	4.9516785100851e-05
TUBA1A	S+	3.51553880296172e-06
MAPKAPK3	S+	2.83488220107775e-05
LST1	S+	0.000246351267134182
TFEB	S+	1.67532379587149e-06
NUP214	S+	0.000175632053724594
MLF2	S+	1.51863431025644e-06
ELL	S+	0.000224912422296926
DYSF	S+	2.09472780650298e-06
TAGLN2	S+	1.21168678039645e-05
GAS7	S+	0.000326363564310241
EIF4EBP3	S+	0.00718963305780685
STX10	S+	6.21093454355871e-06
MARCO	S+	0.00162115576779537
DGAT1	S+	0.000169929187865979
TNFSF13	S+	8.53277543344503e-06
ADAM15	S+	0.000191951060675008
NAPA	S+	0.00172796804986731
SIGLEC5	S+	0.0019715338874052
TNFRSF10C	S+	4.41706921099661e-07
NRP1	S+	0.00748427352584395
TMEM11	S+	0.000386334655686665
SOCS3	S+	0.00101872660766068
PSTPIP1	S+	3.72554588420498e-05
CLDN9	S+	0.000110559344885032
UNC119	S+	1.63523614197471e-06
ATP6V0D1	S+	1.05680067897308e-06
SLC16A5	S+	9.63351859952113e-06
SLC16A3	S+	1.1272292701541e-05
LPAR2	S+	0.000167391740216188
DEDD	S+	0.00579640370581268
PDLIM7	S+	1.33294321657487e-07
MAPKAPK2	S+	1.24853782841257e-05
THEMIS2	S+	5.46760858305702e-05
PGS1	S+	0.00631015206241185
TP53I11	S+	4.34142920618192e-05
GTPBP1	S+	0.00019053915224348
RIN1	S+	9.09323553768088e-05
AATK	S+	6.33458886067497e-05
ZNF592	S+	6.69009583008713e-06
SLC25A44	S+	1.15605166274295e-05
KIAA0040	S+	0.00137567614653831
N4BP1	S+	1.39715346655856e-05
DHX34	S+	5.66107181998151e-06
KMT2B	S+	0.000357211161857371
KIAA0513	S+	2.13104353193324e-06
ATG13	S+	2.49155075676857e-05
IP6K1	S+	2.77826982939482e-06
RNF40	S+	1.33769930849056e-05
CTIF	S+	0.00169382725846593
ARHGEF11	S+	0.000650676306374754
PLEKHM1	S+	6.17081059343359e-06
GAB2	S+	2.70805247896544e-05
RUSC2	S+	0.00702468324995565
OSBPL2	S+	0.000214391738669349
TECPR2	S+	1.18770144921974e-05
