Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0050878	BP Regulation of body fluid levels	0.0424679487179487	2.03651509081197	2.83504589786485e-07	4.60600456873109e-05	4.33667563559156	53	ACTB/ACTG1/ADCY6/ALOX12/SERPING1/CYBA/F12/FCER1G/FOSL2/GNAI2/GP1BA/GP9/ILK/ITGB3/ITPK1/MTX1/MYH9/NFE2/OAS2/OPRL1/PF4/SERPINA1/PLAUR/PLCG2/PRKACA/PRKCD/PTPN6/SELP/ST3GAL4/SRF/STAT5A/SYK/TBXA2R/THBS1/TLN1/NR1H2/USF1/USF2/VAV1/VDR/VWF/MYL9/ZNF385A/F11R/ZBTB7B/GP6/INPP5K/MPIG6B/FERMT3/EMILIN2/NLRP6/TREML1/PEAR1
BP	GO:1990849	BP Vacuolar localization	0.0184294871794872	3.1191907051282	3.42074050653307e-07	5.37828684801361e-05	4.26935603863423	23	FES/FGR/IL4R/LGALS9/MYH9/PIK3CD/RAC2/STXBP2/SYK/LAT2/TFEB/PLEKHM1/GAB2/CD300A/PLEKHM2/RNF167/DEF8/LAMTOR1/KXD1/NDEL1/RAB34/UNC13D/BORCS8
BP	GO:0002764	BP Immune response-regulating signaling pathway	0.0713141025641026	1.68879425187296	3.59251993552612e-07	5.47185692679822e-05	4.26186526668165	89	AKT1/ARRB2/BAX/C5AR1/CD14/CD33/CSK/CYBA/DUSP3/FCER1G/FCN1/FGR/FOSL2/FPR1/FFAR2/GPS2/GRB2/HCK/HLA-DRB1/HSPA1A/INPP5D/IRF1/IRF7/ITGAM/LRCH4/MEFV/MYD88/NINJ1/OAS1/PAK1/PIK3CD/PLCG2/PLD2/PRKCD/MAP2K7/PTPN6/SEC14L1/SLC19A1/SYK/TYROBP/VAV1/LAT2/TRIM25/LAPTM5/MAPKAPK3/SQSTM1/MAPKAPK2/THEMIS2/FLOT1/LILRB2/TNIP1/SH2B2/RBCK1/LILRB4/LILRA1/LILRB3/LILRA2/TREX1/CD300A/NLRP1/SIRT2/FCHO1/PRKD2/ZDHHC5/C5AR2/SMPDL3B/PYCARD/GP6/SLC15A3/SPG21/RNF31/NAGK/NPLOC4/GPR108/LILRA6/NLRX1/CPTP/TRIM11/PRAM1/ZDHHC18/NFKBID/ZDHHC12/NLRP3/CD300LB/OSCAR/CD300LF/NFAM1/NLRP6/LILRA5
BP	GO:0032102	BP Negative regulation of response to external stimulus	0.047275641025641	1.92941614384434	4.33455646596812e-07	6.40200855003897e-05	4.1936837501806	59	ADAR/ALOX12/ALOX5/ARRB2/SERPING1/DUSP1/DUSP3/EXTL3/F12/FGR/GBA1/GP1BA/GPS2/GRN/GSTP1/HCK/HLA-B/HLA-DRB1/HLA-E/LGALS9/MEFV/CCN3/OAS1/FURIN/PF4/PLAUR/PRKCD/PTPN6/SPP1/TRIM21/STAT3/SYK/TGFB1/THBS1/TNFRSF1A/TNFRSF1B/NR1H2/USF1/ZFP36/NRP1/PGLYRP1/SOCS3/ISG15/LPCAT3/TRAFD1/LILRA2/TREX1/C5AR2/SMPDL3B/CERS2/PARP14/RHBDF2/NLRX1/RIN3/ZDHHC18/NLRP12/NLRP3/SIRPA/NLRP6
BP	GO:0043254	BP Regulation of protein-containing complex assembly	0.0536858974358974	1.83344508483603	5.27297484447476e-07	7.01373884291932e-05	4.15405040914037	67	ADD1/RHOA/BAX/CAPG/CAPZB/CLU/DCTN1/CTTN/PTK2B/FES/FLII/GAK/GBA1/GRB2/GSN/H3-3A/H3-3B/HCK/HCLS1/HSPA1A/MEFV/MYD88/PAK1/PFN1/PLCG2/PRKCD/RAC1/RAF1/RALB/SELP/SYK/TGFB1/NR1H2/VASP/VCP/ULK1/NAPA/ISG15/OSBPL2/BCL2L11/CDC42EP2/TRIOBP/CDC42EP1/CORO1A/TWF2/MAPRE3/SIRT2/JMJD6/VPS39/COTL1/TFIP11/ZDHHC5/PYCARD/SSH3/NCLN/PREX1/VPS18/GBA2/CPTP/TRIM11/MED25/PSRC1/ZDHHC12/FCHSD1/BMF/ESAM/MYADM
BP	GO:0030595	BP Leukocyte chemotaxis	0.032051282051282	2.18271127294796	1.29199531537172e-06	0.000139937448158262	3.85406604996719	40	ADAM8/ALOX5/AZU1/C5AR1/CCR1/CSF1R/CSF3R/DUSP1/PTK2B/FCER1G/FFAR2/CXCR1/CXCR2/IL16/ITGB2/LGALS9/NINJ1/CCN3/PF4/PIK3CD/MAPK3/RAC1/RAC2/SYK/THBS1/TRPM2/VAV1/CORO1A/PIP5K1C/DAPK2/IL17RA/C5AR2/TREM1/TRPM4/PREX1/CXCL16/GPSM3/RIN3/SLC8B1/JAML
BP	GO:0002697	BP Regulation of immune effector process	0.0504807692307692	1.8212638654449	1.4610617170658e-06	0.000154809017586494	3.81020374537153	63	AGER/ARRB2/SERPING1/FCN1/FES/FGR/FUT7/FFAR2/GRN/HK1/HLA-B/HLA-C/HLA-DRB1/HLA-E/HLX/IL4R/ITGAM/ITGB2/JUNB/LAMP1/LGALS9/MYD88/PLCG2/PTAFR/PTPN6/PVR/RAC2/RARA/SECTM1/SPI1/STAT5A/STAT6/STX4/STXBP2/SUPT6H/SYK/TGFB1/TNFRSF1B/TYROBP/VAV1/LAPTM5/TNFSF13/PGLYRP1/MAPKAPK2/LITAF/GAB2/ARID5A/LILRB4/TREX1/CD300A/PYCARD/ZBTB7B/TRPM4/CUEDC2/NLRX1/PRAM1/NFKBID/NLRP3/RASGRP4/PIK3R6/UNC13D/CLEC4G/NCF1
BP	GO:0002831	BP Regulation of response to biotic stimulus	0.0649038461538462	1.67109254001033	1.88324523982295e-06	0.000183578745977941	3.73617760112396	81	ADAM8/ADAR/AKT1/ARRB2/SERPING1/CD14/CYBA/FCN1/FGR/FFAR2/GPS2/GRN/HCK/HLA-B/HLA-DRB1/HLA-E/HSPA1A/IRF1/IRF7/LAMP1/LGALS9/LRCH4/MEFV/MYD88/NINJ1/OAS1/PAK1/PLCG2/MAPK3/PTPN6/PVR/SEC14L1/SLC19A1/SPI1/TRIM21/SYK/TGFB1/TYROBP/NR1H2/VAV1/TRIM25/MAPKAPK3/SQSTM1/MAPKAPK2/ISG15/N4BP1/FLOT1/TNIP1/KAT5/CD300C/TRAFD1/LILRA2/TREX1/CD300A/NLRP1/SIRT2/ZDHHC5/SMPDL3B/PYCARD/SLC15A3/PARP14/RNF31/NAGK/NPLOC4/GPR108/ZNFX1/NLRX1/CPTP/ZBP1/TRIM11/EMILIN2/ZDHHC18/ZDHHC12/LRSAM1/RNF185/NLRP3/RASGRP4/CD300LF/PIK3R6/NLRP6/NCF1
BP	GO:0043299	BP Leukocyte degranulation	0.0168269230769231	2.97940088757396	2.57321956038682e-06	0.000232942408548013	3.63275143837923	21	FES/FGR/HCK/IL4R/ITGAM/ITGB2/LAMP1/LGALS9/PIK3CD/PTAFR/RAC2/SPI1/STX4/STXBP2/SYK/LAT2/GAB2/CORO1A/CD300A/PRAM1/UNC13D
BP	GO:0042554	BP Superoxide anion generation	0.0104166666666667	4.13397988505747	3.44704975788154e-06	0.000289671043446804	3.53809491625568	13	ALOX12/CYBA/GNAI2/GSTP1/ITGAM/ITGB2/NCF2/NCF4/PRKCD/SYK/TGFB1/TYROBP/NCF1
