Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
CC	GO:0045259	CC Proton-transporting atp synthase complex	0.00680272108843537	4.5374149659864	0.00372230772048299	0.0486623643458264	1.31280679393787	5	ATP5F1C/ATP5PB/ATP5PF/ATP5PO/ATP5MG
MF	GO:0003735	MF Structural constituent of ribosome	0.0385144429160935	2.85660896421064	3.98394072667786e-07	0.000274095121995437	3.56209869342553	28	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/MRPS31/RPL35/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/RPL22L1
React	R-HSA-72163	React mRNA Splicing - Major Pathway	0.0728346456692913	2.84357023377259	4.38350999181867e-09	2.78848827785264e-06	5.5546311768402	37	CDC5L/GTF2F2/HNRNPA2B1/HNRNPH1/PLRG1/PPP1R8/SRSF1/SRSF2/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/PRP4K/SRSF11/PPIG/HNRNPR/TCERG1/SF3A3/NCBP2/PPWD1/MTREX/LSM3/CWC15/PPIL1/LSM8/LUC7L3/SMU1/CCAR1/RBM17/HNRNPA3
React	R-HSA-72203	React Processing of Capped Intron-Containing Pre-mRNA	0.0885826771653543	2.51875649977715	5.06077727377975e-09	2.78848827785264e-06	5.5546311768402	45	CDC5L/GTF2F2/HNRNPA2B1/HNRNPH1/NUP88/PLRG1/PPP1R8/RANBP2/SRSF1/SRSF2/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/PRP4K/SRSF11/PPIG/HNRNPR/TCERG1/SF3A3/NUDT21/NCBP2/PPWD1/MTREX/LSM3/CWC15/PPIL1/LSM8/LUC7L3/SMU1/NUP133/CCAR1/NUP107/METTL14/THOC7/SARNP/RBM17/HNRNPA3
React	R-HSA-72172	React mRNA Splicing	0.0728346456692913	2.74404527559055	1.20310164174162e-08	4.41939336399756e-06	5.35463734077526	37	CDC5L/GTF2F2/HNRNPA2B1/HNRNPH1/PLRG1/PPP1R8/SRSF1/SRSF2/SRSF3/SRSF6/SRSF7/TRA2B/SNRPA1/SNRPB2/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/PRP4K/SRSF11/PPIG/HNRNPR/TCERG1/SF3A3/NCBP2/PPWD1/MTREX/LSM3/CWC15/PPIL1/LSM8/LUC7L3/SMU1/CCAR1/RBM17/HNRNPA3
React	R-HSA-72766	React Translation	0.0866141732283465	2.33084926884139	8.23314136009669e-08	2.26823044470664e-05	4.64431282465551	44	EIF2S1/EIF4A2/EIF5/EIF3E/PPA1/RARS1/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/SRP14/SRP72/TARS1/EIF3J/RPL23/EIF5B/MRPS31/EIF3M/RPL35/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL50/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/GFM1/MRRF/RPL22L1
React	R-HSA-72706	React GTP hydrolysis and joining of the 60S ribosomal subunit	0.0433070866141732	3.13768170805572	1.1438621661328e-06	0.000252107221415668	3.59841471411705	22	EIF2S1/EIF4A2/EIF5/EIF3E/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/EIF3J/RPL23/EIF5B/EIF3M/RPL35/RPL22L1
React	R-HSA-72613	React Eukaryotic Translation Initiation	0.0433070866141732	2.93980988862879	3.61042377619663e-06	0.000568383857338384	3.24535826496064	22	EIF2S1/EIF4A2/EIF5/EIF3E/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/EIF3J/RPL23/EIF5B/EIF3M/RPL35/RPL22L1
React	R-HSA-72737	React Cap-dependent Translation Initiation	0.0433070866141732	2.93980988862879	3.61042377619663e-06	0.000568383857338384	3.24535826496064	22	EIF2S1/EIF4A2/EIF5/EIF3E/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/EIF3J/RPL23/EIF5B/EIF3M/RPL35/RPL22L1
React	R-HSA-8868773	React rRNA processing in the nucleus and cytosol	0.0590551181102362	2.41837127695995	4.72947082665619e-06	0.000600326089066958	3.22161278259512	30	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/MPHOSPH10/EMG1/RPP30/WDR3/KRR1/RPL35/EXOSC8/WDR43/EXOSC2/MTREX/GNL3/UTP25/UTP18/DDX47/GAR1/WDR75/RPL22L1
React	R-HSA-6791226	React Major pathway of rRNA processing in the nucleolus and cytosol	0.0570866141732283	2.45798650168729	4.90284464755229e-06	0.000600326089066958	3.22161278259512	29	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/MPHOSPH10/EMG1/RPP30/WDR3/KRR1/RPL35/EXOSC8/WDR43/EXOSC2/MTREX/GNL3/UTP25/UTP18/DDX47/WDR75/RPL22L1
