	Neu	OxA	SNs	x	y	r	angle	z	pvalue	col	lab
GXYLT1	-0.0331558240420518	0.393003290007135	-0.157006652062957	-0.151154143014141	0.476322582166708	0.499730704712347	107.60608939641	0.80400990602989	0.157032698558817	grey60	ns
CHAMP1	-0.184750620985481	0.30849352763441	-0.0470568540861146	-0.315468957759629	0.307915662895229	0.44083184862956	135.694195406836	0.461635616829532	0.34543344447766	grey60	ns
TMEM272	-0.252490644664951	-0.038087806585449	0.13795414433678	-0.302423813540616	-0.152456801630424	0.338678666821263	206.753421828901	0.218148158586411	0.605134399296335	grey60	ns
SLC46A3	-0.112314560090775	0.275224874329404	-0.0671879558613872	-0.216333019324783	0.296538209526952	0.367062508245704	126.11180970844	0.730121693515563	0.186156543492811	grey60	ns
LINC01588	-0.189590553895549	0.425853454875428	-0.0963720542753285	-0.354331254195599	0.452260557428818	0.574534811395838	128.07753029106	0.80095790539378	0.158140131139848	grey60	ns
TMED8	-0.158510723092726	0.524053913643592	-0.154498574918667	-0.343288392455189	0.587643692896067	0.680567432511279	120.292523628473	0.935606138142909	0.115982872852323	grey60	ns
SNHG10	0.0208023684634305	0.630807655843302	-0.287540505433496	-0.150831206741473	0.795312837184435	0.809489074612774	100.738619876198	2.87638996738411	0.00132926029513901	red	O+
LINC00641	-0.123873115514758	0.291873878119935	-0.0689654109256944	-0.235327349111878	0.312495990997031	0.391193948865828	126.981837810415	0.179814993961753	0.660974958183521	grey60	ns
FAM177A1	0.0567640966518725	0.0692066372137399	-0.0576976867669404	0.0510096214284727	0.10990236841736	0.121163162974648	65.1022988123865	0.0501884999584048	0.890864186015657	grey60	ns
CEP170B	0.135677418493916	0.471558909811457	-0.272611081194114	0.0362035041852446	0.644470116944861	0.645486192997351	86.7847537120266	1.19032120134225	0.0645176883956035	grey60	ns
TEDC1	0.239148569958895	-0.27200110913094	0.00488917443735011	0.37270453730569	-0.239794019631216	0.443181502298036	327.243214518388	0.739746224671303	0.182076449204672	grey60	ns
LINC00926	0.169483581612227	0.129443082944813	-0.138307075669581	0.173915577974611	0.231878439227378	0.289852098216949	53.1290351514858	0.228746015921534	0.590546342488077	grey60	ns
ST20-AS1	0.0500468776818474	-0.146325346097458	0.0403606509956	0.103029225232777	-0.161674816013416	0.191712720978651	302.507815829151	0.201107691382409	0.629350104460176	grey60	ns
LINC03034	0.133927495176068	-0.2117105190592	0.0288674307015362	0.225349039354899	-0.208346616083174	0.306904711549832	317.245050117282	1.79615990217576	0.0159896919836427	grey60	ns
FAM98B	0.0197518554782247	0.348225802598263	-0.162700243772785	-0.0730109239345142	0.442474935612474	0.448458095767079	99.3697077474955	0.997226389327193	0.100640691160147	grey60	ns
HERC2P3	-0.153426836807439	0.167652364367166	-0.00012215865398038	-0.237191939664032	0.14529699904413	0.278156851745226	148.509555767858	0.439334745742511	0.363634645566766	grey60	ns
FBXL22	-0.189742750799339	0.316874067054984	-0.0483480691205084	-0.324005749766577	0.316291647952396	0.452791488928673	135.690248150116	0.537251851647927	0.290233907133243	grey60	ns
NOMO2	-0.343637357732339	0.0474005804984794	0.144089676292186	-0.439382486127671	-0.0837352132262969	0.447290235808682	190.78974783229	0.582197291738183	0.261699388750167	grey60	ns
CES4A	-0.193939410735227	0.076287208666678	0.0595245453395726	-0.261845287738352	0.014516892276359	0.262247392498274	176.826729052425	0.153958791720429	0.701521859563761	grey60	ns
EXOC3L1	-0.0718182983736517	0.0188137199651505	0.0261947464346842	-0.094322531573569	-0.00639215642862153	0.094538878913677	183.876957523226	0.816148176178188	0.152704495953554	grey60	ns
BRICD5	0.291294838215212	-0.363484828572947	0.0201118022288006	0.462981351387285	-0.332204427080433	0.56983463663087	324.339309861889	0.874940435133497	0.133370434140292	grey60	ns
PGP	0.26579937373819	-0.412268917332484	0.0538146242319482	0.445026520288458	-0.403640187280619	0.600811122190648	317.791891241772	0.790685624884572	0.161925175010134	grey60	ns
LINC00921	0.0379323098997326	0.0718345850111298	-0.0498147261567722	0.0269223804725538	0.105351393824281	0.108736979685053	75.6649492551971	0.0334759988312526	0.925814548601225	grey60	ns
C16orf54	-0.172932119646551	-0.528156044658612	0.315396077080139	-0.0665521358573141	-0.730537566842022	0.73356276033795	264.79470993293	2.95169809157785	0.00111763992734803	green3	S+
INO80E	-0.178218512183337	-0.0469061192240067	0.106183578306574	-0.20785724172462	-0.132579567119158	0.24654000599268	212.53134098908	0.40779591443854	0.391024604615965	grey60	ns
PDPR2P	-0.0862421579430399	0.122580916865146	-0.0125393676080109	-0.141262932571607	0.117017598920333	0.183434823781665	140.362759337709	0.00755780826465423	0.982748052225106	grey60	ns
NUDT7	-0.0426575034060554	0.0682201773160783	-0.00954127638416954	-0.0719969538720097	0.067343394339622	0.0985834373920393	136.912800283705	0.269483251985568	0.537671167327306	grey60	ns
FBXL19-AS1	0.0485327440222023	0.11945240424374	-0.0758547749979004	0.0267339293992826	0.169140978764741	0.171240689319509	81.0182982270297	0.0548291723808381	0.881395497457985	grey60	ns
NHLRC4	-0.105334603885199	0.263077446163179	-0.0651934664469022	-0.204276593743338	0.284290949643832	0.350071808063392	125.69904606969	0.0313757350807968	0.930302664688946	grey60	ns
UQCC4	-0.0553243976010976	0.302348846559984	-0.106477781637868	-0.153259930062156	0.354054245762876	0.385801782143856	113.406402732442	0.383289307017198	0.413723979108059	grey60	ns
PKD1P2	0.233162508869115	-0.034314922460674	-0.0968194383744771	0.298729689286691	0.0541304986326022	0.303594364479212	10.2706830262606	0.367520652324454	0.429021787165664	grey60	ns
PDXDC2P-NPIPB14P	0.19352433588369	0.273505142627345	-0.213233943980198	0.163388736560117	0.421528414016967	0.452086366813212	68.8131582187844	1.62042584581451	0.0239648190528498	grey60	ns
CLEC18C	0.112445613888421	-0.370607911848332	0.10909358654682	0.243202776539177	-0.415433683843661	0.481386265059858	300.345517265504	0.941499714141006	0.114419563294308	grey60	ns
HID1	-0.093107031048274	0.0417316182510729	0.026329462872703	-0.127137571610162	0.0133386578307034	0.12783537033096	174.010715432352	0.0167296826408044	0.962210999796205	grey60	ns
TSEN54	0.374900080481963	-0.0568275833244085	-0.154947901968615	0.480787823128475	0.0849746885733065	0.488239314851588	10.022977816859	1.09398358125396	0.0805408889557505	grey60	ns
UBALD2	0.0203740660480252	-0.627169389215318	0.266174979551683	0.200871270879843	-0.773658917679997	0.799310570661159	284.554787896371	4.31185037786964	4.87696481227412e-05	green3	S+
CCDC57	-0.0818290403142615	-0.100858619849331	0.0836557320845271	-0.0732275964318596	-0.159794116137543	0.175773833181637	245.379805416664	0.218517243394519	0.604620344790337	grey60	ns
HEXD	0.150832959313318	-0.174679117022492	0.00445899101950187	0.235943022314814	-0.155138152350249	0.282377329284236	326.674128235548	0.327694513043426	0.470224752960559	grey60	ns
VMO1	0.179711875532535	-0.328263880088354	0.0581744069832628	0.31475661208508	-0.334665373598963	0.45942642189736	313.244083357496	0.620353531053271	0.239688097884695	grey60	ns
C17orf58	-0.366505338538234	0.207098919422129	0.0847990379526152	-0.512454317225607	0.105914804232425	0.523285173685205	168.322449534389	0.426993744605776	0.374115976841709	grey60	ns
MILR1	-0.178900363013196	-0.1107990615466	0.134623761326825	-0.190812712903309	-0.212542399276875	0.285628715110878	228.083677213381	0.554897533959544	0.278677859463188	grey60	ns
RNF227	-0.0964423965312708	0.286821221470516	-0.079908987112013	-0.199898513710522	0.317597676967636	0.375270169609729	122.186638903991	0.348244062872838	0.448493276850883	grey60	ns
LINC00324	0.203918786177421	0.224023055293075	-0.196451161694126	0.190132839377946	0.364141353547286	0.410791214576419	62.4291286569874	0.522239876816518	0.300441639457352	grey60	ns
CDRT4	-0.0325180085730015	-0.0469225116746627	0.0362545492518943	-0.0271840273616173	-0.0720334477745244	0.0769921355846316	249.324465244826	0.00147880317466138	0.996600720531482	grey60	ns
CCDC144BP	0.0224073175549039	0.436856973870139	-0.202972580929215	-0.094534878915558	0.554108648548329	0.562114968425174	99.6818500945438	1.39657755220719	0.0401256839207872	grey60	ns
KANSL1	-0.314751491454421	0.213910567819679	0.0569600660574681	-0.450186808392994	0.135923121662789	0.470258713320262	163.199567186662	0.202275195549629	0.627660508683099	grey60	ns
NEK8	-0.0532017728544818	-0.0778730234383952	0.0598009812830427	-0.0441657517768055	-0.119229185529504	0.127146420759844	249.673992114679	0.369344757736908	0.42722360686797	grey60	ns
PIGW	-0.0184160203351619	0.332501803798936	-0.137461103910654	-0.115936370279303	0.406999816912907	0.423190374324227	105.899924821594	0.334316794456863	0.463108983412772	grey60	ns
