Sample_ID	nmf_subtypes	sil_width	prob
CGND.HRA.01475	3	0.842	0.41
CGND.HRA.01476	3	0.898	0.42
CGND.HRA.01481	3	0.744	0.414
CGND.HRA.01482	3	0.726	0.39
CGND.HRA.01487	2	0.283	0.541
CGND.HRA.01488	1	0.137	0.471
CGND.HRA.01493	3	0.108	0.36
CGND.HRA.01494	3	0.816	0.487
CGND.HRA.01499	3	0.87	0.47
CGND.HRA.01500	2	0.813	0.498
CGND.HRA.01505	1	0.826	0.514
CGND.HRA.01506	1	0.765	0.457
CGND.HRA.01511	2	0.804	0.538
CGND.HRA.01512	1	0.653	0.371
CGND.HRA.01517	2	0.883	0.595
CGND.HRA.01518	2	0.509	0.422
CGND.HRA.01524	3	0.886	0.512
CGND.HRA.01527	3	0.887	0.534
CGND.HRA.01528	3	0.892	0.473
CGND.HRA.01531	3	0.878	0.491
CGND.HRA.01532	3	0.897	0.532
CGND.HRA.01535	2	0.832	0.498
CGND.HRA.01536	3	0.892	0.446
CGND.HRA.01539	3	0.825	0.466
CGND.HRA.01540	3	0.836	0.434
CGND.HRA.01546	1	0.828	0.463
CGND.HRA.01551	3	0.704	0.436
CGND.HRA.01552	3	0.882	0.357
CGND.HRA.01557	3	0.88	0.456
CGND.HRA.01562	3	0.804	0.4
CGND.HRA.01563	3	0.872	0.407
CGND.HRA.01568	3	0.878	0.401
CGND.HRA.01569	3	0.81	0.426
CGND.HRA.01574	2	0.873	0.548
CGND.HRA.01575	2	0.847	0.414
CGND.HRA.01580	3	0.167	0.357
CGND.HRA.01581	2	0.825	0.566
CGND.HRA.01587	1	0.682	0.427
CGND.HRA.01592	3	0.681	0.387
CGND.HRA.01593	1	0.149	0.402
CGND.HRA.01608	2	0.78	0.383
CGND.HRA.01609	2	0.849	0.4
CGND.HRA.01628	3	0.427	0.401
CGND.HRA.01629	3	0.862	0.453
CGND.HRA.01635	2	0.524	0.433
CGND.HRA.01636	3	0.662	0.432
CGND.HRA.01639	3	0.861	0.405
CGND.HRA.01640	3	-0.118	0.353
CGND.HRA.01646	2	0.722	0.429
CGND.HRA.01658	2	0.626	0.357
CGND.HRA.01659	3	0.484	0.381
CGND.HRA.01664	2	0.855	0.361
CGND.HRA.01669	2	0.341	0.379
CGND.HRA.01674	3	0.618	0.42
CGND.HRA.01679	1	0.166	0.356
CGND.HRA.01686	3	0.196	0.362
CGND.HRA.01690	2	0.872	0.437
CGND.HRA.01695	1	0.804	0.432
CGND.HRA.01700	3	0.712	0.352
CGND.HRA.01710	2	0.883	0.385
CGND.HRA.01715	2	0.722	0.403
CGND.HRA.01720	3	0.515	0.41
CGND.HRA.01728	2	0.592	0.372
CGND.HRA.01736	2	0.403	0.399
CGND.HRA.01740	2	0.448	0.376
CGND.HRA.01746	2	0.684	0.437
CGND.HRA.01766	2	0.622	0.412
CGND.HRA.01776	1	0.672	0.395
CGND.HRA.01791	2	0.858	0.38
CGND.HRA.01796	2	0.86	0.384
CGND.HRA.01801	3	0.654	0.371
CGND.HRA.01804	2	0.843	0.411
CGND.HRA.01809	2	0.868	0.455
CGND.HRA.01814	3	0.65	0.382
CGND.HRA.01819	2	0.854	0.372
CGND.HRA.01823	3	0.494	0.452
CGND.HRA.01828	2	0.372	0.441
CGND.HRA.01833	1	0.704	0.535
CGND.HRA.01838	3	0.737	0.357
CGND.HRA.01845	3	0.655	0.372
CGND.HRA.01849	3	0.322	0.374
CGND.HRA.01854	3	0.89	0.395
CGND.HRA.01859	2	0.569	0.454
CGND.HRA.01864	2	0.879	0.447
CGND.HRA.01869	3	0.857	0.381
CGND.HRA.01874	2	0.681	0.382
CGND.HRA.01879	3	0.172	0.384
CGND.HRA.01889	2	0.872	0.471
CGND.HRA.01894	1	0.512	0.348
CGND.HRA.01899	2	0.874	0.474
CGND.HRA.01904	3	0.883	0.421
CGND.HRA.01914	2	0.764	0.402
CGND.HRA.01919	2	0.878	0.367
CGND.HRA.01983	1	0.755	0.455
CGND.HRA.01984	3	0.718	0.485
CGND.HRA.02157	2	0.884	0.52
