Sample_ID	nmf_subtypes_sample	nmf_subtypes_con	sil_width_con	sil_width_sample	prob
CGND.HRA.00223	2	2	0.737	0.736	0.445
CGND.HRA.00225	2	2	0.74	0.884	0.464
CGND.HRA.00226	3	3	0.703	0.679	0.422
CGND.HRA.00249	1	1	0.698	0.859	0.483
CGND.HRA.00250	3	3	0.709	0.713	0.375
CGND.HRA.00252	3	3	0.724	0.829	0.484
CGND.HRA.00254	2	2	0.734	-0.0868	0.41
CGND.HRA.00255	3	3	0.733	0.868	0.379
CGND.HRA.00256	3	3	0.725	0.811	0.386
CGND.HRA.00257.2	2	2	0.73	0.69	0.443
CGND.HRA.00284	3	3	0.714	0.697	0.388
CGND.HRA.00285	3	3	0.704	0.632	0.391
CGND.HRA.00286	3	3	0.689	0.117	0.406
CGND.HRA.00287	2	2	0.699	0.869	0.436
CGND.HRA.00288	3	3	0.36	0.896	0.396
CGND.HRA.00304	3	3	0.2	0.759	0.456
CGND.HRA.00305	3	3	0.296	0.876	0.479
CGND.HRA.00312	3	3	0.434	0.0329	0.355
CGND.HRA.00313	3	3	0.404	0.321	0.362
CGND.HRA.00320	1	1	0.373	0.844	0.444
CGND.HRA.00321	1	3	0.443	0.0252	0.379
CGND.HRA.00328	1	1	-0.473	0.732	0.4
CGND.HRA.00334	2	2	-0.233	0.795	0.415
CGND.HRA.00335	3	3	-0.0127	0.692	0.4
CGND.HRA.00343	1	1	0.254	0.858	0.407
CGND.HRA.00350	3	3	0.16	0.883	0.49
CGND.HRA.00351	3	3	-0.0308	0.872	0.468
CGND.HRA.00358	3	3	-0.393	-0.189	0.367
CGND.HRA.00359	2	2	-0.0896	0.829	0.674
CGND.HRA.00366	2	2	0.12	0.737	0.638
CGND.HRA.00367	3	3	0.0141	0.636	0.374
CGND.HRA.00373	3	3	0.0216	0.724	0.42
CGND.HRA.00374	3	3	-0.407	0.192	0.412
CGND.HRA.00381	2	2	-0.367	0.881	0.512
CGND.HRA.00382	2	2	-0.355	0.844	0.464
CGND.HRA.00387	2	2	-0.0263	0.665	0.568
CGND.HRA.00388	2	2	0.0137	0.813	0.598
CGND.HRA.00393	3	3	-0.156	0.134	0.416
CGND.HRA.00394	3	3	-0.217	0.646	0.453
CGND.HRA.00417	3	3	-0.236	0.843	0.397
CGND.HRA.00418	3	3	-0.166	0.526	0.37
CGND.HRA.00423	3	3	0.0643	0.208	0.374
CGND.HRA.00424	2	2	0.206	0.674	0.406
CGND.HRA.00429	3	3	0.2	0.859	0.458
CGND.HRA.00430	3	3	0.143	0.707	0.442
CGND.HRA.00435	2	3	0.0768	0.524	0.385
CGND.HRA.00436	3	3	0.307	0.875	0.477
CGND.HRA.00461	3	2	0.379	0.451	0.349
CGND.HRA.00462	2	2	0.355	0.2	0.34
CGND.HRA.00482	3	3	0.337	0.808	0.386
CGND.HRA.00483	3	3	0.322	0.879	0.449
CGND.HRA.00488	3	3	0.343	0.575	0.403
CGND.HRA.00489	3	3	0.414	0.878	0.463
CGND.HRA.00556	3	3	0.422	0.692	0.39
CGND.HRA.00557	3	3	0.387	0.771	0.432
CGND.HRA.00561	2	2	0.00538	0.655	0.398
CGND.HRA.00562	3	3	0.419	0.757	0.405
CGND.HRA.00563	1	2	0.12	0.262	0.432
CGND.HRA.00574	1	1	0.199	0.46	0.425
CGND.HRA.00575	3	3	0.519	0.822	0.404
CGND.HRA.00581	3	3	0.479	0.864	0.436
CGND.HRA.00582	2	3	0.562	0.241	0.373
CGND.HRA.00586	1	2	0.54	0.396	0.456
CGND.HRA.00587	2	2	0.547	0.421	0.503
CGND.HRA.00599	2	2	0.567	0.112	0.413
CGND.HRA.00600	1	1	0.462	0.287	0.369
CGND.HRA.00603	3	3	0.552	0.497	0.408
CGND.HRA.00604	2	2	0.505	0.848	0.426
CGND.HRA.00607	1	1	0.528	0.717	0.428
CGND.HRA.00608	1	1	0.528	0.516	0.399
CGND.HRA.00611	3	3	0.548	0.87	0.434
CGND.HRA.00612	3	3	0.597	0.884	0.379
CGND.HRA.00615	2	2	0.608	0.64	0.499
CGND.HRA.00616	1	1	0.617	0.419	0.413
CGND.HRA.00624	2	2	0.641	0.873	0.389
CGND.HRA.00627	1	1	0.648	0.794	0.425
CGND.HRA.00628	1	3	0.617	0.264	0.43
CGND.HRA.00631	2	3	0.601	0.211	0.389
CGND.HRA.00633	1	3	0.629	0.0503	0.393
CGND.HRA.00637	1	1	0.64	0.829	0.396
CGND.HRA.00638	1	1	0.65	0.596	0.404
CGND.HRA.00640	3	3	0.65	0.595	0.4
CGND.HRA.00650	3	3	0.617	0.829	0.397
CGND.HRA.00651	3	3	0.621	0.133	0.391
CGND.HRA.00663	2	2	0.627	0.795	0.391
CGND.HRA.00664	2	2	0.652	0.808	0.412
CGND.HRA.00672	3	3	0.639	0.713	0.362
CGND.HRA.00673	3	3	0.643	0.827	0.406
CGND.HRA.00677	1	1	0.592	0.78	0.626
CGND.HRA.00678	1	1	0.607	0.712	0.592
CGND.HRA.00680	1	1	0.63	0.808	0.455
CGND.HRA.00681	1	1	0.641	0.817	0.49
CGND.HRA.00732	3	3	0.62	0.368	0.386
CGND.HRA.00733	2	2	0.609	0.855	0.429
CGND.HRA.00747	1	1	0.624	0.174	0.364
CGND.HRA.00748	3	3	0.634	0.538	0.368
CGND.HRA.01174	3	3	0.642	0.87	0.377
CGND.HRA.01175	3	3	0.647	0.886	0.422
CGND.HRA.01279	3	3	0.633	0.888	0.395
CGND.HRA.01280	3	3	0.622	0.769	0.398
CGND.HRA.01304	3	3	0.62	0.835	0.432
CGND.HRA.01305	3	3	0.643	0.454	0.435
CGND.HRA.01320	2	3	0.636	0.464	0.371
CGND.HRA.01321	3	3	0.648	0.898	0.407
CGND.HRA.01374	3	3	0.652	0.89	0.416
CGND.HRA.01375	3	3	0.655	0.878	0.417
CGND.HRA.01384	1	1	0.648	0.282	0.419
CGND.HRA.01386	3	3	0.657	0.899	0.445
CGND.HRA.01387	3	3	0.663	0.853	0.493
CGND.HRA.01390	3	3	0.663	0.841	0.359
CGND.HRA.01394	3	3	0.657	0.623	0.432
CGND.HRA.01398	3	3	0.662	0.403	0.398
CGND.HRA.01399	3	3	0.661	0.507	0.413
CGND.HRA.01403	2	2	0.663	0.289	0.512
CGND.HRA.01407	1	1	0.662	0.65	0.402
CGND.HRA.01414	3	3	0.661	0.893	0.457
CGND.HRA.01415	3	3	0.665	0.571	0.436
CGND.HRA.01424	2	2	0.658	0.655	0.424
CGND.HRA.01425	3	3	0.654	0.517	0.461
CGND.HRA.01428	3	3	0.66	0.786	0.419
CGND.HRA.01429	3	3	0.663	0.892	0.457
CGND.HRA.01437	3	3	0.667	0.83	0.425
CGND.HRA.01438	3	3	0.663	0.162	0.409
CGND.HRA.01445	3	3	0.374	0.87	0.441
CGND.HRA.01452	1	1	-0.161	0.767	0.412
CGND.HRA.01453	1	1	0.256	0.69	0.361
CGND.HRA.01461	2	2	-0.00637	0.879	0.452
CGND.HRA.01468	2	2	0.138	0.822	0.445
CGND.HRA.01469	1	1	0.232	0.774	0.413
CGND.HRA.01475	3	3	0.441	0.842	0.41
CGND.HRA.01476	3	3	0.323	0.898	0.42
CGND.HRA.01481	3	3	0.362	0.744	0.414
CGND.HRA.01482	3	3	0.472	0.726	0.39
CGND.HRA.01487	2	2	0.549	0.283	0.541
CGND.HRA.01488	1	2	0.543	0.137	0.471
CGND.HRA.01493	3	3	0.502	0.108	0.36
CGND.HRA.01494	3	3	0.538	0.816	0.487
CGND.HRA.01499	3	3	-0.092	0.87	0.47
CGND.HRA.01500	2	2	0.0534	0.813	0.498
CGND.HRA.01505	1	1	0.0892	0.826	0.514
CGND.HRA.01506	1	1	0.0378	0.765	0.457
CGND.HRA.01511	2	2	0.11	0.804	0.538
CGND.HRA.01512	1	1	0.163	0.653	0.371
CGND.HRA.01517	2	2	0.0494	0.883	0.595
CGND.HRA.01518	2	3	0.172	0.509	0.422
CGND.HRA.01524	3	3	0.236	0.886	0.512
CGND.HRA.01527	3	3	0.263	0.887	0.534
CGND.HRA.01528	3	3	0.228	0.892	0.473
CGND.HRA.01531	3	3	0.328	0.878	0.491
CGND.HRA.01532	3	3	0.241	0.897	0.532
CGND.HRA.01535	2	2	0.433	0.832	0.498
CGND.HRA.01536	3	3	0.324	0.892	0.446
CGND.HRA.01539	3	3	0.415	0.825	0.466
CGND.HRA.01540	3	3	0.352	0.836	0.434
CGND.HRA.01546	1	1	0.375	0.828	0.463
CGND.HRA.01551	3	3	0.416	0.704	0.436
CGND.HRA.01552	3	3	0.292	0.882	0.357
CGND.HRA.01557	3	3	0.411	0.88	0.456
CGND.HRA.01562	3	3	0.357	0.804	0.4
CGND.HRA.01563	3	3	0.37	0.872	0.407
CGND.HRA.01568	3	3	0.338	0.878	0.401
CGND.HRA.01569	3	3	0.359	0.81	0.426
CGND.HRA.01574	2	2	0.448	0.873	0.548
CGND.HRA.01575	2	2	0.525	0.847	0.414
CGND.HRA.01580	3	3	0.48	0.167	0.357
CGND.HRA.01581	2	2	0.516	0.825	0.566
CGND.HRA.01587	1	1	0.495	0.682	0.427
CGND.HRA.01592	3	3	0.509	0.681	0.387
CGND.HRA.01593	1	3	0.51	0.149	0.402
CGND.HRA.01608	2	2	0.523	0.78	0.383
CGND.HRA.01609	2	2	0.494	0.849	0.4
CGND.HRA.01628	3	3	0.442	0.427	0.401
CGND.HRA.01629	3	3	0.441	0.862	0.453
CGND.HRA.01635	2	3	0.456	0.524	0.433
CGND.HRA.01636	3	3	0.457	0.662	0.432
CGND.HRA.01639	3	3	0.513	0.861	0.405
CGND.HRA.01640	3	2	0.417	-0.118	0.353
CGND.HRA.01646	2	2	0.408	0.722	0.429
CGND.HRA.01658	2	2	0.446	0.626	0.357
CGND.HRA.01659	3	3	0.541	0.484	0.381
CGND.HRA.01664	2	2	0.524	0.855	0.361
CGND.HRA.01669	2	3	0.458	0.341	0.379
CGND.HRA.01674	3	3	0.497	0.618	0.42
CGND.HRA.01679	1	1	0.511	0.166	0.356
CGND.HRA.01686	3	1	0.498	0.196	0.362
CGND.HRA.01690	2	2	0.464	0.872	0.437
CGND.HRA.01695	1	1	0.484	0.804	0.432
CGND.HRA.01700	3	3	0.493	0.712	0.352
CGND.HRA.01710	2	2	0.599	0.883	0.385
CGND.HRA.01715	2	2	0.559	0.722	0.403
CGND.HRA.01720	3	3	0.57	0.515	0.41
CGND.HRA.01728	2	2	0.564	0.592	0.372
CGND.HRA.01736	2	2	0.613	0.403	0.399
CGND.HRA.01740	2	3	0.597	0.448	0.376
CGND.HRA.01746	2	2	0.635	0.684	0.437
CGND.HRA.01766	2	2	0.631	0.622	0.412
CGND.HRA.01776	1	1	0.62	0.672	0.395
CGND.HRA.01791	2	2	0.554	0.858	0.38
CGND.HRA.01796	2	2	0.583	0.86	0.384
CGND.HRA.01801	3	3	0.588	0.654	0.371
CGND.HRA.01804	2	2	0.606	0.843	0.411
CGND.HRA.01809	2	2	0.598	0.868	0.455
CGND.HRA.01814	3	3	0.564	0.65	0.382
CGND.HRA.01819	2	2	0.574	0.854	0.372
CGND.HRA.01823	3	3	0.59	0.494	0.452
CGND.HRA.01828	2	2	0.595	0.372	0.441
CGND.HRA.01833	1	1	0.592	0.704	0.535
CGND.HRA.01838	3	3	0.573	0.737	0.357
CGND.HRA.01845	3	3	0.594	0.655	0.372
CGND.HRA.01849	3	3	0.598	0.322	0.374
CGND.HRA.01854	3	3	0.638	0.89	0.395
CGND.HRA.01859	2	2	0.641	0.569	0.454
CGND.HRA.01864	2	2	0.639	0.879	0.447
CGND.HRA.01869	3	3	0.635	0.857	0.381
CGND.HRA.01874	2	2	0.615	0.681	0.382
CGND.HRA.01879	3	3	0.631	0.172	0.384
CGND.HRA.01889	2	2	0.634	0.872	0.471
CGND.HRA.01894	1	1	0.629	0.512	0.348
CGND.HRA.01899	2	2	0.637	0.874	0.474
CGND.HRA.01904	3	3	0.651	0.883	0.421
CGND.HRA.01914	2	2	0.656	0.764	0.402
CGND.HRA.01919	2	2	0.65	0.878	0.367
CGND.HRA.01983	1	1	0.659	0.755	0.455
CGND.HRA.01984	3	3	0.658	0.718	0.485
CGND.HRA.02157	2	2	0.653	0.884	0.52
