Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
BP	GO:0043603	BP Amide metabolic process	0.0777777777777778	2.91536167039523	0.000344257659367271	0.0248491437761466	1.60468857110373	14	ENSG00000175426/ENSG00000119125/ENSG00000145335/ENSG00000196542/ENSG00000118402/ENSG00000136143/ENSG00000118276/ENSG00000112972/ENSG00000117069/ENSG00000162630/ENSG00000151229/ENSG00000113161/ENSG00000204147/ENSG00000143158
BP	GO:0006821	BP Chloride transport	0.0388888888888889	5.21266666666667	0.000403961121797031	0.0268673575955393	1.57077504432629	7	ENSG00000022355/ENSG00000091664/ENSG00000109738/ENSG00000145451/ENSG00000134343/ENSG00000186297/ENSG00000179520
BP	GO:0009260	BP Ribonucleotide biosynthetic process	0.0444444444444444	4.45908183632735	0.000450673992615512	0.0277597661264054	1.55658419709468	8	ENSG00000061918/ENSG00000239672/ENSG00000135002/ENSG00000128609/ENSG00000156411/ENSG00000173915/ENSG00000004779/ENSG00000110955
BP	GO:0006536	BP Glutamate metabolic process	0.0222222222222222	10.9509803921569	0.000464419689187478	0.0277597661264054	1.55658419709468	4	ENSG00000136750/ENSG00000128683/ENSG00000120053/ENSG00000065154
BP	GO:0072522	BP Purine-containing compound biosynthetic process	0.0555555555555556	3.6078811369509	0.000486599067657363	0.0282702190038985	1.54867082710241	10	ENSG00000145335/ENSG00000061918/ENSG00000118402/ENSG00000239672/ENSG00000128609/ENSG00000156411/ENSG00000173915/ENSG00000004779/ENSG00000143158/ENSG00000110955
BP	GO:0046390	BP Ribose phosphate biosynthetic process	0.0444444444444444	4.27969348659004	0.000591589430307141	0.0306839677716454	1.51308848207921	8	ENSG00000061918/ENSG00000239672/ENSG00000135002/ENSG00000128609/ENSG00000156411/ENSG00000173915/ENSG00000004779/ENSG00000110955
BP	GO:0050803	BP Regulation of synapse structure or activity	0.0611111111111111	3.24024261603376	0.000631198329475494	0.0306839677716454	1.51308848207921	11	ENSG00000091664/ENSG00000145335/ENSG00000111249/ENSG00000150394/ENSG00000136099/ENSG00000185008/ENSG00000165985/ENSG00000117600/ENSG00000174482/ENSG00000146242/ENSG00000179520
BP	GO:0043648	BP Dicarboxylic acid metabolic process	0.0333333333333333	5.64141414141414	0.000693738810076318	0.0330497169120358	1.48083225611986	6	ENSG00000136750/ENSG00000014641/ENSG00000128683/ENSG00000120053/ENSG00000136143/ENSG00000065154
BP	GO:0043649	BP Dicarboxylic acid catabolic process	0.0166666666666667	16.4264705882353	0.000742129887120557	0.0346618311984542	1.46014849706422	3	ENSG00000136750/ENSG00000128683/ENSG00000120053
BP	GO:0023061	BP Signal release	0.0777777777777778	2.66496250852079	0.00083384995233497	0.0381967420473442	1.4179736782192	14	ENSG00000132872/ENSG00000122012/ENSG00000102468/ENSG00000145335/ENSG00000145242/ENSG00000141433/ENSG00000143858/ENSG00000128564/ENSG00000164326/ENSG00000173267/ENSG00000145708/ENSG00000250366/ENSG00000143158/ENSG00000112038
