Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.3	4	1	0.2	10	1	10	0.745706634857757	0.0769116089285415	0.0604136520605158	0.127181809691948
0.3	4	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	1	0.6	1	1	10	0.747054704775074	0.197222471760784	0.053032665060822	0.137224865890262
0.3	4	1	0.6	10	1	10	0.753943664702251	0.136033709709471	0.0649630687705337	0.168687792333892
0.3	4	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	1	1	1	1	10	0.749578790295408	0.225935410579877	0.0592468531048018	0.151240585827593
0.3	4	1	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	4	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	1.5	0.2	1	1	10	0.763065943000359	0.197578633648772	0.0511584763831527	0.140145071124098
0.3	4	1.5	0.2	10	1	10	0.753429441474345	0.11607826678779	0.0611833907495613	0.148971346881833
0.3	4	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	1.5	0.6	1	1	10	0.750633926048921	0.213369368900598	0.0584169786443027	0.156997432354122
0.3	4	1.5	0.6	10	1	10	0.755991563845392	0.140906870291461	0.0665796591735894	0.175347078918103
0.3	4	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	4	1.5	1	1	1	10	0.744777767998325	0.216455675291683	0.0535759652060768	0.137740240464581
0.3	4	1.5	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	4	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	0	0.2	1	1	10	0.745910294635867	0.165507620158357	0.0578751270637612	0.145288286575892
0.5	4	0	0.2	10	1	10	0.749806693415167	0.115798592522707	0.06734750931606	0.184941805746685
0.5	4	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	0	0.6	1	1	10	0.752964292452955	0.223205990589303	0.0544639933303189	0.157799792449029
0.5	4	0	0.6	10	1	10	0.750805677644069	0.139764944561946	0.0651462040546876	0.16837812446838
0.5	4	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	0	1	1	1	10	0.751562130895133	0.235165536137074	0.0504676978617624	0.13094717751775
0.5	4	0	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	4	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	4	1	0.2	1	1	10	0.75114887780049	0.182263724423805	0.0568179884707849	0.160721981906521
0.5	4	1	0.2	10	1	10	0.746159764612357	0.0984310029158392	0.0590903657805591	0.144868961034245
