Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.3	2	1.5	0.2	10	1	10	0.629857787771743	0.257773317046937	0.0717647550136053	0.139430885375673
0.3	2	1.5	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	1.5	0.6	1	1	10	0.676955867219421	0.346711581215711	0.0689849179551955	0.138583904478958
0.3	2	1.5	0.6	10	1	10	0.636962955758196	0.270949438696098	0.0713854643491261	0.140761184935723
0.3	2	1.5	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.3	2	1.5	1	1	1	10	0.6731212760971	0.338868210308092	0.0749528052398929	0.148995230622936
0.3	2	1.5	1	10	1	10	0.62773058732668	0.251066801534133	0.060446632328841	0.122502351553972
0.3	2	1.5	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	0	0.2	1	1	10	0.656455213748265	0.308351127463239	0.0733563550489698	0.149551791701682
0.5	2	0	0.2	10	1	10	0.639427296225311	0.276689174352985	0.0726279378969107	0.139918302006691
0.5	2	0	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	0	0.6	1	1	10	0.66635307159522	0.324601852806087	0.0699087970424065	0.140620679875052
0.5	2	0	0.6	10	1	10	0.621180052769815	0.239134785263278	0.0716597256258552	0.140544383159615
0.5	2	0	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	0	1	1	1	10	0.682063547032986	0.357337910719158	0.0662830139782814	0.131076887165221
0.5	2	0	1	10	1	10	0.618572956075189	0.235041128625097	0.0774716200877616	0.150250760737762
0.5	2	0	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	1	0.2	1	1	10	0.643162555206727	0.286080305768302	0.0707408138561497	0.136189919241742
0.5	2	1	0.2	10	1	10	0.616508987382667	0.227770728247562	0.0616980707072215	0.124009600567512
0.5	2	1	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	1	0.6	1	1	10	0.667303862182488	0.333379661964041	0.0705386818536845	0.140429776702746
0.5	2	1	0.6	10	1	10	0.625963579391913	0.247820648086835	0.0660388408628694	0.136333507695195
0.5	2	1	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	1	1	1	1	10	0.678849011346582	0.34970401029871	0.0686198208502091	0.137241990259686
0.5	2	1	1	10	1	10	0.618572956075189	0.235041128625097	0.0774716200877616	0.150250760737762
0.5	2	1	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	1.5	0.2	1	1	10	0.659278832641226	0.316578138925723	0.0643489963685238	0.123782386383031
0.5	2	1.5	0.2	10	1	10	0.628155249443383	0.256401418597587	0.0723371830345381	0.143916773704998
0.5	2	1.5	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	1.5	0.6	1	1	10	0.666774082353132	0.326084217897435	0.0677785380779264	0.140502646745437
0.5	2	1.5	0.6	10	1	10	0.6293458298602	0.255440548095032	0.0744113297023755	0.146319355727893
0.5	2	1.5	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.5	2	1.5	1	1	1	10	0.677319713164724	0.344282271324227	0.0719257125884199	0.148268544527495
0.5	2	1.5	1	10	1	10	0.618572956075189	0.235041128625097	0.0774716200877616	0.150250760737762
0.5	2	1.5	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	0	0.2	1	1	10	0.655962047383092	0.310795322632614	0.0743770272500738	0.147916828956316
0.1	4	0	0.2	10	1	10	0.625573554951358	0.249502568206503	0.0773785285984457	0.14896780626298
0.1	4	0	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	0	0.6	1	1	10	0.667888348469525	0.327498902271753	0.0670045843932383	0.134547167186692
0.1	4	0	0.6	10	1	10	0.626559584938741	0.247099055891483	0.0624067700229737	0.122887474291739
0.1	4	0	0.6	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	0	1	1	1	10	0.654095061527651	0.301813393877171	0.0756575912287097	0.152072524667484
0.1	4	0	1	10	1	10	0.624573190184064	0.243446768911474	0.0715483778718442	0.139961520838532
0.1	4	0	1	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	1	0.2	1	1	10	0.648219979377571	0.294082753650152	0.0685923731442931	0.135730935270019
0.1	4	1	0.2	10	1	10	0.621552323545668	0.240990887367701	0.0659090802714075	0.125519435561157
0.1	4	1	0.2	20	1	10	0.495115207574846	0	0.0809373306907322	0
0.1	4	1	0.6	1	1	10	0.669349750366798	0.332380719941232	0.0786046014568286	0.156404694505569
0.1	4	1	0.6	10	1	10	0.630711375861016	0.255931038314637	0.0669652441838542	0.13385540318701
