Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.3	4	1.5	1	1	1	10	0.774564228195633	0.1899525405752	0.0587945324730195	0.167629633698126
0.3	4	1.5	1	10	1	10	0.775316947830998	0.0769237392227054	0.0639789837213197	0.149676843277649
0.3	4	1.5	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	0	0.2	1	1	10	0.77213018373213	0.161672883315272	0.0663797765154954	0.190701670722303
0.5	4	0	0.2	10	1	10	0.773050171693649	0.0253995478762112	0.0570030165001874	0.107473029643435
0.5	4	0	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	0	0.6	1	1	10	0.787190359777434	0.229013904846064	0.0565538144079283	0.159999979978528
0.5	4	0	0.6	10	1	10	0.776932720391855	0.0735989715284066	0.0620864816976243	0.150235706779948
0.5	4	0	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	0	1	1	1	10	0.775411567100424	0.205882889386066	0.0607051162580743	0.17086477183182
0.5	4	0	1	10	1	10	0.776378022506178	0.0669825865403387	0.062843141378076	0.144821515345904
0.5	4	0	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	1	0.2	1	1	10	0.769421093754823	0.160322306560349	0.061825389776721	0.177468807374881
0.5	4	1	0.2	10	1	10	0.782243630331849	0.0616135098041341	0.0595417393921974	0.126504749045147
0.5	4	1	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	1	0.6	1	1	10	0.777458780921742	0.198641337341626	0.0595789543014042	0.161741848274024
0.5	4	1	0.6	10	1	10	0.777575836036845	0.0589178917288352	0.0638122984242816	0.162718232578579
0.5	4	1	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	1	1	1	1	10	0.775735087051641	0.195122688396452	0.0625751321205956	0.175254867621169
0.5	4	1	1	10	1	10	0.776037886451757	0.0674607908344181	0.0629868823118838	0.144969983160507
0.5	4	1	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	1.5	0.2	1	1	10	0.778516641404953	0.173530758459283	0.0599224288384919	0.157013952221794
0.5	4	1.5	0.2	10	1	10	0.77784881879418	0.0469255572563769	0.06091626383277	0.113785726750841
0.5	4	1.5	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	1.5	0.6	1	1	10	0.772907409603638	0.171935290046855	0.0584845822432581	0.177542552294843
0.5	4	1.5	0.6	10	1	10	0.777184595911972	0.0654381604158548	0.0628261295662636	0.14292135231759
0.5	4	1.5	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.5	4	1.5	1	1	1	10	0.768146688282869	0.167516448854139	0.0581693704550853	0.15989675578626
0.5	4	1.5	1	10	1	10	0.776037886451757	0.0674607908344181	0.0629868823118838	0.144969983160507
0.5	4	1.5	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	0	0.2	1	1	10	0.787065777656044	0.148620507798787	0.0628574137067831	0.162544108337048
0.1	6	0	0.2	10	1	10	0.779761194947321	0.0125788768895306	0.0595854453037791	0.0763903366520649
0.1	6	0	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	0	0.6	1	1	10	0.764730517464429	0.152693243187995	0.0568443958964986	0.162299898179673
0.1	6	0	0.6	10	1	10	0.774965784690233	0.0785873249169571	0.0640413364794716	0.150373848571527
0.1	6	0	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	0	1	1	1	10	0.753722291964086	0.179448619415786	0.0672002555710759	0.170001645195391
0.1	6	0	1	10	1	10	0.768224484906029	0.0694768437096409	0.0636572114558444	0.127723667695984
0.1	6	0	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	1	0.2	1	1	10	0.787174732796772	0.156310716698151	0.0595958342518012	0.168282298259181
0.1	6	1	0.2	10	1	10	0.780493218566786	0.0151121599780409	0.0594426500500635	0.0572613751124541
0.1	6	1	0.2	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	1	0.6	1	1	10	0.768642101368321	0.167779187964746	0.062715099345573	0.185983206707932
0.1	6	1	0.6	10	1	10	0.771555396214576	0.0493786677561124	0.0613639199273393	0.113316446117268
0.1	6	1	0.6	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	1	1	1	1	10	0.751101159750657	0.165230545805389	0.0638175836952775	0.161304427977083
0.1	6	1	1	10	1	10	0.768224484906029	0.0694768437096409	0.0636572114558444	0.127723667695984
0.1	6	1	1	20	1	10	0.781140425052502	0	0.0597593543862773	0
0.1	6	1.5	0.2	1	1	10	0.777507741158591	0.101827193775352	0.0635049523973365	0.154809898165701
